X_val,tokens,Y_val,ccn_prediction
great lakes museum on track toledo blade __link__,8,0,20
i posted a new photo to facebook __link__,8,0,0
apply to the chicago police department at __link__,8,0,0
could you use a plant based product instead,8,7,8
was honored to be featured in marlborough patch __link__,9,0,0
rt megandfigueroa free lyft rides for marchforourlives attendees __link__,9,21,11
cuomo opponent marcmolinaro gets support from nypd widow __link__,9,0,0
jarvisdortch thanks for attending the elections panel at publicleadinst,9,0,19
steve is an incredible champion for our environment __link__,9,0,7
rt nickayers brucerauner grounds all state planes __link__ loveit,9,0,10
this pic is too funny not to share __link__,9,0,0
a family of doctors helps reinvent medical marijuana __link__,9,3,3
rt schlossmangf zengerle does it north dakota is in,9,0,0
jesselwilson boldcitybrewery i m sure out paths will cross,9,0,0
thank you to all our farmers ag nationalfarmersday __link__,9,0,4
nope that little girl is the magical one __link__,9,0,0
steveyeagernv you just mindstole my comment for facebook hahahaha,9,0,0
dimaswalle y all finally changed name on nyse __link__,9,0,0
laxalt just another empty suit lyngar __link__ via rgj,9,0,0
we gon get some stuff done y all __link__,9,0,0
the more you learn the more you earn __link__,9,0,0
you can call it the comptoncollege comeback ad64 __link__,9,0,0
have your voice heard come register to vote __link__,9,19,19
thank you dranesvilledems for another wonderful fall festival __link__,9,0,0
mrsadditv sarajbenincasa epiclalagirl cersei and her cheekbones are amazing,9,0,0
this drama queen needs to delete her account __link__,9,0,0
tech distractions blamed for rise in traffic fatalities __link__,9,10,10
njt expects gladstone branch repairs to be finished tomorrow,9,0,0
rt militaryearth hell always be by your side __link__,9,0,0
fy19 state budget investments in early education __link__ __link__,9,1,6
tomknoxbiz1st i thought it was a republican push poll,9,0,3
__num__ tips when buying a newly constructed home __link__,9,0,20
rt capitancolombia annettetaddeo animo annette we have your back,9,0,0
thank you for highlighting that political psyops strategy __link__,9,0,19
millard valleys diabetes epidemic is accelerating __link__ rgv __link__,9,3,3
a super program for rural leadership and community __link__,9,0,0
real time alert here in a paradise ca __link__,9,0,0
annual gala – burlington country library system foundations __link__,9,0,0
rt rickshort21 jobfair positions indiumcorp in utica today __link__,9,0,19
trump trumpism and the nevada primary __link__ via nevadacurrent,9,19,19
early voting at __num__ bexar county locations starts tuesday __link__,10,19,19
new __num__ million homeless shelter planned for jersey city __link__,10,0,13
rt yvannacancela woo joycewoodhouse reading budget summaries like nvleg __link__,10,1,1
rt arthurschwartz unless planned parenthood gets to them first __link__,10,3,2
every child— and every californian— must be accurately counted __link__,10,19,19
hey i know this exceptional and talented lady nhpolitics __link__,10,0,0
best superbowl ad hands down could nt agree more __link__,10,0,19
go nhlblackhawks mom wants a big win tonight letsgohawks __link__,10,0,0
piffnews repbillhager josefelixdiaz senatorabruzzo sshawfl going to do my best,10,0,0
senate passes measure to make local tax cap permanent __link__,10,1,1
what a fantastic investment in our youth by amazon __link__,10,0,14
ogden insights what about condos __link__ ogden realestate condos market,10,0,13
trading day lets see who tries to improve today nbatradedeadline,10,0,0
great summary of our energy efficiency bill from cabaus __link__,10,19,8
catering sidehustle becomes primary career for former nurse __link__ __link__,10,0,19
runwithrainbows christinepmarsh your family is awesome ❤ ️ thank you,10,0,0
please see my statement regarding the shooting this morning __link__,10,21,11
watch all of manu ginobilis game winners __link__ via googlenews,10,0,0
rt equalityva thank you lopez4va for speaking against hb __num__,10,2,11
kentlansing8 canbeadick cpsut atxsportsfan ebenchbiz1st dbuchananbiz1st johnny on the spot,10,0,0
rt thecityofmalden city receives grant for coytemore lea park __link__,10,20,20
northbayclc theatlantic one more reminder why we need labor unions,10,5,5
bill intended to reduce agricultural inspection times now law __link__,10,4,4
encouraging everyone to shop small this holiday season smallbusinesssaturday __link__,10,14,0
great story about a hebisd program loved by many __link__,10,6,6
this is why we keep fighting for justice blacklivesmatter __link__,10,2,2
happy to support our local panhandlemelon festival 📍 district2 __link__,10,0,0
having a great time with elisa listening to speakerryan __link__,10,0,0
great place the butter churn in aransas pass tx __link__,10,0,4
low taxes weather make florida cities fastestgrowing in us __link__,10,1,1
proud to propose legislation that helps protect economic development investments __link__,11,1,10
bryanavilafl my invite seems to have been lost in the mail,11,0,19
sinclaircc w business leaders talking workforce development regional challenges symposium2015 __link__,11,5,5
thank you jerrybrowngov for signing my bills ab __num__ and __year__,11,19,19
get well soon to my great colleague and good friend __link__,11,0,0
bonneauitall yep been catching up with the walkingdeadamc too good stuff,11,0,0
delegate mike webert joins the republican lineup supporting nick4senate libertyrising __link__,11,19,19
❤ ️ thanks for being such a strong community advocate __link__,11,0,0
rt wjxt4 here are school grades for clay county __link__ __link__,11,0,6
holding signs this morning at the nahant rotary for warrentolman __link__,11,19,0
looking forward to welcoming chief difronzo to the uptonma community __link__,11,0,0
on election day new york voters flipped the state senate __link__,11,19,19
rt asmaabintlibya ca nt get enough of these two carlosgsmith __link__,11,0,0
ghartmanseton i did take off my coat needed to be flexible,11,0,0
rt theblogfines kyle schwarber with the greatest bunt of alltime __link__,11,0,0
plows are out clearing the streets in elmont snowalert driveslow __link__,11,0,0
anybody know if mathematically speaking __num__ is less than __num__ __link__,11,0,0
rt ggmsoars congrats take stock inductees kaylee and hailey ccpssuccess __link__,11,0,0
another coastal day moving forward starbucks in corpus christi tx __link__,11,0,0
i m at port aransas beach in port aransas tx __link__,11,0,10
rt senatorgallivan sharing bflonavalpark w tomcroci after walking through canalsidebflo __link__,11,0,0
a beautiful tribute to this legend thx clarkcountynv commissioners mrbojanglesrip __link__,11,0,0
rt ilhousegop amendment __num__ is defeated on a vote of __num__,11,19,19
how i learned everything i know about the transportation 👇 __link__,11,0,10
rt alexconant better question does brucebartlett know who marcorubio is __link__,11,0,0
rt scottferson thebluelab on the job in concord for repcoryatkins __link__,11,0,5
awesome turnout at thearcofmass maddc lobby day at state house __link__,11,0,19
environmentalists foolishly go to war against nuclear power __link__ via nypost,11,8,8
the next stop for our veterans was the disabled veterans memorial,11,0,15
rt klsouth san francisco board unanimously reaffirms sanctuary city status __link__ criminal,12,9,9
christophgage cruz is picking up endorsements every day from around the country,12,19,19
had fun with the family at the illinois football game tonight __link__,12,0,0
texas real estate agent posts 19b in home sales in __year__ __link__,12,0,0
wow getting right to it with the opening question from chris wallace,12,0,0
frs appears to be on the legislative target list once again __link__,12,5,19
rt dwightclark thanks for supporting this important cause and legislation vote4ina __link__,12,19,19
rt davidweprin this mornings jcrcny ujafedny congressional breakfast with charleslavine nycgreenfield __link__,12,0,0
we are having a great time campaigning at the abingdon farmers market,12,19,4
my letter to johncornyn tedcruz judgejohncarter repmccaul regarding syrianrefugees txlege tcot __link__,12,9,9
rt scmansfield mansfield norton foxboro break ground for wastewater plant __link__ mansfieldma,12,7,8
rt rtdnews va joins states backing obamas clean power plan __link__ __link__,12,8,8
f i think there should be no restrictions on access to abortion,12,3,2
legislators ponder models for mental health funding and services __link__ via dailyprogress,12,3,3
rt hanoverparkpd bartlett high students get crash course on distracted driving __link__,12,0,0
rt njassemblydems a look ahead to todays assembly gun safety hearing __link__,12,21,11
railroad safety bill clears last stop before house vote __link__ via ohhousedems,12,10,10
i rather lose being who i am then win being someone else,12,0,0
republican medicaid expanders in virginia say backlash is milder than expected __link__,12,3,3
happy to meet w advocatehealth nurses from lutheran general hospital yesterday __link__,12,0,3
unfortunately for pepsico tamponbarbie eats doritos like a bosslady eathowiwant doritosinmyhairdontcare __link__,12,0,0
congratulations to denton county for ranking as texas 3rd healthiest county __link__,12,3,0
jbiroscak massgovernor paid medical family leave are on the ballot for __year__,12,12,5
ponchonevarez repmattkrause yes you too chairman one of my favorite scenes doctor,12,0,0
replylelarson that movie scared the bageebees out of me as a kid,12,0,0
great picture from the ribbon cutting of our community garden addition __link__,12,0,0
ocregister editorial bullet train still on track to go almost nowhere __link__,12,10,0
ogden insights for sale commercialresidential classic craftsman __link__ realestate cre ogden historichome,12,0,0
good news texas scores bad news in __num__ minutes byu will score,12,0,0
bethhaneydnp canpoc thank you beth i appreciate your leadership and our friendship,12,0,0
brenna and ryanns birthday party bowling center at suncoast hotel casino pic __link__,13,0,0
i do hd74 neat high school gym and a great football team __link__,13,0,0
rt aappd thank you senator fannkfann for supporting individuals with developmental disabilities __link__,13,12,12
rt andybicking scenichudson vote4murphy sueserino4ny johnbonacic bettylittle kathymarchione georgeamedore ty farmland protection …,13,4,7
wellp time for bbc to film their tragic montage heartbreaker engcro worldcup __link__,13,0,18
earlier during the emergency preparedness panel at somoselfuturo with my colleagues … __link__,13,0,14
rt saldidomenico and were backing finishing up the last of the senbudget amendments,13,1,9
the football analogy does not work well against marceeliasamiright hutch4nevada dejavu nvrecalls __link__,13,0,0
pensions committee meeting today at university of houston led by chairman danflynn __link__,13,0,1
wadegmathews utahemergency utstatecapitol utahreps waltandjen contemplatriot repjimdunnigan utahdps thanks for all you do,13,0,0
chef prepares for __num__ restaurant openings in downtown las vegas __link__ via reviewjournal,13,0,0
martha ryan helps thousands of families through homeless prenatal program __link__ via sfchronicle,13,0,12
palatine plans property tax hike wants to look for new revenue sources __link__,13,1,1
on not being neutral on netneutrality check out the latest barrett report __link__,13,16,16
retweeted be a king berniceking a beautiful moment mlk corettascottking mlkday mlk50forward __link__,13,19,2
rt evanasmith patricksvitek marcorubio tx cochairs repjamesfrank isaacfortexas now backing tedcruz __link__ txlege,13,19,19
rt flapol deepdive most florida flood zone property not insured __link__ flapol __link__,13,13,14
kcoerr missionready runningstart you mean jlock she s awesome say hi for me,13,0,0
southbridge411 repdurant plus the other side will be heard at a public hearing,13,0,0
decroce comptrollers report on free school lunch program costly for all taxpayers __link__,13,3,12
hoffmanmichael very few people i allowed for __num__ had better insurance than obamacare,13,3,3
thank you coindesk for covering this important event on cryptocurrencies and bitlicense __link__,13,16,0
planet __num__ revenue soars __num__ as las vegas takes off cfn media __link__,13,3,14
a pic of me cherihottinger on the campaign trail in coshocton co __link__,13,0,19
we are so lucky to have you in the florida house fentriceforfl __link__,13,0,0
especially relevant after the past two days of tours davisbesse nuclear energy __link__,13,8,8
briankavanaghny debating the llc loophole bill fighting corruption in the nys assembly __link__,13,19,19
happy to see congressman darrellissa support our cities regarding the toll roads __link__,13,10,10
congratulations nickcollinsma on being sworn in to the masenate today welcome mapoli __link__,13,0,0
congratulations to bluffton elementary for being named a national blue ribbon school __link__,13,0,0
good luck to all of our students heading back to school tomorrow __link__,13,0,6
come one come all great employment opportunities in a truly beautiful city __link__,13,1,5
congrats sunlake seahawks on a great season and a great playoff run slhsseahawks,13,0,0
this week w teamsylvia my final weekly update as your state senator __link__,13,0,0
rt joelwool massachusetts needs billions to protect clean water __link__ mapoli carolyndykema jamieeldridgema,13,7,7
that s almost as bad as calling a hot dog a sandwich __link__,13,0,0
top othe mornin to ya potogold happycamper __num__ k lumberjack pinkyswear sunchaser __link__,13,0,0
weighing only __num__ ounces at birth miracle baby goes home from the hospital __link__,14,0,0
as usual thenvindy does a great job covering a complicated and important issue __link__,14,0,0
rt devilsdigest sun devils offer north richland hills tex wide receiver rashee rice __link__,14,0,0
addlee24 happy to have your support sign on as a public endorser here __link__,14,19,19
tried tweeting a location and pics but do nt have enough bandwidth up here,14,0,0
frontpage magazines person of the year sarah huckabee sanders congrats job done well __link__,14,0,0
ogden rising some fixed up some knocked down __link__ urbanrenewal demolition restoration realestate utah,14,13,14
rt thehill poll sanders moves to within __num__ points of clinton nationwide __link__ __link__,14,19,19
rt ohiofarmbureau ohio farm bureau foundation accepting fall grant applications deadline oct __num__ __link__,14,0,4
__num__ of california voters oppose gastax hike __link__ via thehill keithlaing berkeleyigs stopthegastax fixourroads,14,1,1
teamcarlos⁠ ⁠performing karaoke hits tonight at big daddys orlando singingforvotes join us 🎤 __link__,14,0,0
thank you mike i am proud to stand with constitutional responsible gun owners __link__,14,21,11
rt berkshirerecrd only in the record leema founders weekend called best ever berkshires __link__,14,0,0
please thoughts and prayers for residents and public safety workers at working haverhill fire,14,0,0
come meet my constituent services team this friday at townofwellesley wellesleylib officehours wellesleyma __link__,14,0,0
the north state needs you to help enforce in the yuba county foothills __link__,14,0,0
i posted __num__ photos on facebook in the album phoebus days parade __num__ __link__,14,0,0
rt hankdeanlight drrandyfriese do nt feel bad the media was nt invited either azleg,14,0,0
the state of the state is strong mtpol mtleg montana montana state capitol __link__,14,0,19
icymi yesterday nysenate republicans fought to protect the rights of pregnant mothers letjusticelivon __link__,14,3,2
vetowned business legislation sponsored by 9th district becomes law barnegatocean acres nj patch __link__,14,15,14
it was a pleasure marching with the korean american family service center yesterday __link__,14,11,15
tribunefest __year__ ttfhealth green rm pics blazing hot healthcare panel discussion turned debate __link__,14,3,3
tomorrow ca nt get here quick enough where s cardi on this bronx __link__,14,0,0
rt barbrastreisand carrie fishers death puts spotlight on womens heart disease __link__ via usatoday,14,3,3
kicking it in the district todaythank you for your support 😊 utpol utleg __link__,14,0,0
rt steveadubato icymi patrickdiegnan weighs in on educationreform publicpension commoncore njcr __link__ __link__ …,14,6,6
jjc is always evolving to serve our local students president dr judy mitchell __link__,14,0,6
rt tjshopeforaz two of my favorite people right here have fun up there __link__,14,0,0
do not forget cnn they are the leaders of the fake news pack __link__,14,0,3
priest travels us spreading gospel one good deed at a time __link__ via crux,14,0,0
join me january __num__ __year__ for my new years kick off fundraiser taggreason __link__,14,0,0
rt bobwieckowskica equality unity pride march with davecorteseashkalra repannaeshoo kdeleon repzoelofgren jimbealljr http …,14,2,2
rt njassemblydems joelagananj ​ gmjohnsonnj on modernizing njs liquor laws to create more jobs __link__,15,1,5
kingwolfy182 great job very convincing argument which i understood from the subtitles hope you win,15,0,19
taking the stage texasdemocrats convention catch the wave with us ginaforaustin genefortexas texashdc harrisdemocrats __link__,15,0,0
great event glad to be a small part thank you to all the sponsors __link__,15,0,0
reminder wireless emergency alert system will alert your cell phone between 1011am this morning __link__,15,0,0
proud to represent monson the best soccer teams in mass girlsmonson monsonboyssoccer divstatechamps congrats __link__,15,0,0
hope you can make it kjgalli grateful for all of your hard work downtownstreets __link__,15,0,0
assembly dem bill package sponsored by assemblyman benjie e wimberly to strengthen domestic violence __link__,15,11,11
rt mharrisperry yes economic justice and racial justice are connected at uva in charlottesville everywhere,15,1,2
connorjosellis great to have met you today connor i m honored to have your vote,15,19,19
rt senjohnfkeenan mbta mtg in quincy re wollaston station renovations project design moving along __link__,15,10,10
wishing our brave chp officer lendway a speedy recovery be careful out there everyone __link__,15,0,0
yesterday i had the privilege of meeting with some of californias finest nurse practitioners __link__,15,0,3
rt citizensunionny thank you bobby4brooklyn for your continued support of electionreform in albany easyelectionsny __link__,15,19,0
teamsalas doing a great job with adopt a highway cleanup along hwy __num__ ad32 __link__,15,0,10
retweeted michelle rindels michellerindels govsandoval after meeting with pence on health bill i m __link__,15,3,3
rt johncornyn after site seizure feds accuse backpage founders of facilitating prostitution via freebeacon __link__,15,11,11
please share this information about warming centers with anyone you think may need it __link__,15,0,0
rt nysenate senatorfunke this is an innovative and forward thinking plan for agriculture plantingseeds __link__,15,4,4
viola barrios hometown of bustamante nuevo león just received the unesco designation of pueblomagico __link__,15,0,19
it is important that we give taxpayers a greater voice in local tax decisions txlege,15,1,1
every attendee is given opportunity to provide their priorities and every voice is heard __link__,15,0,2
i uploaded a new track common sense gunreform after charleston on spreaker backgroundchecks charleston __link__,15,21,11
rt scdp remembering democratic senator clementa c pinckney __num__ gone but never forgotten sctweets __link__,15,0,19
__num__ runners walkers at the lickingmemorial __num__ k sponsored by pnbcares dawesarboretum ymca cherihottinger __link__,15,0,0
proud senbudget adopted my amendment to provide additional funding for the communitypreservationact malegis cpa __link__,15,1,1
jaredeborn utahstatesman looks like we both just missed the list there s always next year,15,0,0
seven days till election day please join in our efforts to move nj forward __link__,15,19,19
rt sandrachereb senate passes ab405 net metering compromise katkinson702 says made an imperfect bill workable,15,8,1
eon set to build 228mw wind park in texas ordered germanys nordex turbines __link__ __link__,15,8,8
just switched to fb timeline let me know what you think __link__ utleg utpol utdem,15,0,0
congrats to our smart dedicated hardworking chair davidpepper on his reelection to ohdems chair __link__,15,0,19
happyhalloween from our families to yours we hope everyone has a safe spooky holiday __link__,15,0,0
legislators listen to the teachers give them what they need to help our children __link__,15,6,6
interesting take rt shabbosgoy brexit rt suzanneevans1 sums the current situation up perfectly eurefresults __link__,15,18,1
deadline 2apply __num__ the jesse unruh assembly fellowship program is february __num__ civics california __link__,15,0,0
home of fresnogrizzlies triplea affiiliate of sfgiants one more great thing from rural ca ruralandproud,15,0,0
delicious breakfast with lorain county farmers at lccc stocker center great conversations and local foods,15,0,0
awesome day at the polls still working hard meeting some awesome new friends txlege __link__,15,19,19
rt brettdoster __num__ more state reps endorse jayfant conservatives support conservatives sayfie chuckclemons21 bobbypaynefl jasonfisc …,16,19,19
shafter soldier killed in combat honored with naming of portion of highway __num__ after him __link__,16,0,15
proud to be recognized as a champion for free enterprise by texas association of business __link__,16,0,14
where is the accountability public education welcomes all students lets invest in all students azld2 __link__,16,6,6
rt bbcsport watch the magical moment marta became alltime fifawwc leading scorer __link__ uk only __link__,16,0,0
thehill but the plaintiffs position was medically wrong and kavanaugh nevertheless endorsed it time to stopkavanaugh,16,19,19
votebichotte peopleclimatemarch __num__ so happy to have marched for a healthier planet wmy labor partners __link__,16,7,7
thank you for inviting me and congratulations to all of the program graduates mapoli workforcedevelopment __link__,16,0,6
rt eagletribjill todays eagletrib our continuing coverage of the heroin epidemic chiefsolomon dianadizoglio salemnhpolice __link__ …,16,3,3
a successful day of knocking doors in north ridgeville and avon with our wonderful volunteers __link__,16,0,0
rt coreyinnyc thank you lindabrosenthal senatorlanza for cracking down on illegalhotels holding lawbreakers accountable __link__ …,16,11,11
thank you for taking the lead on mhap __num__ kids amendment __num__ hlamass mentalhealthmatters senbudget __link__,16,3,3
surprise jamie lee curtis stopped by nevada museum of art for impromptu visit __link__ via rgj,16,0,0
thank you to azteca for the opportunity to chat about the issues in district __num__ __link__,16,0,0
as long as one of those female candidates is amy coney barrett i m happy __link__,16,19,19
pleased that my sb900 the coastal oil well cleanup act has made it to jerrybrowngov __link__,16,8,7
rt jimsciutto breaking panel of federal judges strikes down north carolinas congressional map as unconstitutionally gerrymandered,16,19,19
first ever lgbtq caucus party is officially over featuring pangina all the way from thailand __link__,16,2,2
rt psegomasierra congrats to craigkelleyone jeffersonrsmith kristenvonhoff minkavb timtoomey1 on their cambma sierra club endorseme …,16,7,0
mass vetsadvisor is an organization dedicated to assisting veterans and their families across the commonwealth __link__,16,15,15
le grand emergency state funding issued to repair le grand wells local news merced sunstar __link__,16,7,14
the assemblys __num__ state budget proposal includes measures to invest in infrastructure protect farmers and __link__,16,1,1
nevada should continue to set an example for protecting individual rights rt if you agree __link__,16,2,2
yes in fact refused to ever debate it by allowing a committee hearing txlege gunreformnow __link__,16,21,11
thanks for spending some time in the bay today great to have you here brother __link__,16,0,0
rt annieslisttx repmarygonzalez is back in the txlege to fight for education tx families hd75 __link__,16,6,6
ny should follow the science raise the age for criminal prosecution to __num__ __link__ raisetheageny raisetheageny,16,11,11
would california have less debt if more senators and assemblymembers were cpas accountants or financial planners,16,1,1
my community connection goes pink in october for breastcancerawareness here is this weeks edition __link__ roc,16,0,0
remembering with gratitude mayormeninos life of service and sending prayers to mrs menino and his family,16,0,0
driving the day consideration of a bill relating to mortgage foreclosure appropriations consideration of a __link__,16,13,14
i had great visits this morning from my friends from euclidlibrary and clevelandpl and cuyahogalib librarysmatter,16,13,0
eac at __num__ updated revenue estimates wlast session adj ongoing revenue collection update hjnews utahsenate utpol kvnuftp,17,1,1
free guided walks of scenic outdoor spots in chelsea hells kitchen this weekend next via chelseanownyc __link__,17,0,0
cnn says the guy who is going to jail for lying to congress this is cnn fakenews,17,0,0
cnn fires commentator marc lamont hill after he called for eliminating israel endorsed violent ‘ resistance __link__,17,0,18
i am searching for a new job let me know if you hear of anything unemployed lifeofanontenuredteacher,17,5,5
careforkids congrats again to a great team working hard to care for so many special babies thankyou,17,3,3
tick tock how the time flies happy birthday to tsegerblom one of a kind nvleg ⏱ __link__,17,0,0
rt azhousedems update the arizona house approves hb2184 espinozadiego19s bill for atriskyouth program support demslead __link__ …,17,12,12
be it resolved the official canadian power rock trio of the state of texas is txlege __link__,17,0,19
nogales young democrats happy hour enjoying time w my fellow democrats azdemparty marydarling richardmccune santacruzazdems azld2 __link__,17,0,19
victoria4texas thank you victoria your courage passion dedication determination to stand for do what is right __link__,17,0,0
rt njassemblydems vincemazzeo bill to establish requirements for sale planting of running bamboo clears assembly panel __link__,17,7,7
current law has chilling effect on research by deq and daq says steve erickson votecleanair utleg utpol,17,7,7
elkgrovedental lets just say i gave them some good clues and took them on the assembly floor,17,0,19
ride hailing bill allows these cos to continue to innovate thrive wenhanced public safety consumer protection __link__,17,10,14
tonight i am happy to join senswilliams in support of the towardsemploy rock the pathway terocks event,17,0,0
sds i m sure running the off tackle dive every other play will finally work at usc,17,0,0
great canvassing weather this morning in tempe really no excuse not to on days like today america,17,19,0
rt usajobs there are thousands of open jobs with vacareers check them out here __link__ fedjob __link__,17,0,5
proud to support womens rights a group that provides vital health services to millions standwithpp pinkoutday __link__,17,3,2
rt eugenevclemens oliviadiaz the joke will be on them when he decides to caucus with the dems,17,0,19
with lenadunham sashaalexander many colleagues rallying support for planned parenthood and access to womens healthcare istandwithpp __link__,17,3,3
rt savingplaces adaptively reusing an old building can have benefits both tangible and intangible __link__ __link__ …,17,13,13
congratulations commr sandramurman410 on being voted the new chair of the hillsborough county commission well deserved hillsboroughgop,17,19,19
speaker pelosi so proud of my representative in congress the most effective speaker we could ask for,17,0,19
rt speakerryan the federal government now has needed resources to fight zika virus in the us __link__,17,3,3
rather than pursuing a clean energy future the trump administration is taking us backwards once again __link__,17,8,8
welcoming the phenomenal ladies of alpha kappa alpha sorority inc to the illinois capitol as … __link__,17,0,0
this thread explains what daca court ruling means grateful for everyone who worked hard on this __link__,17,9,9
check out these southern illinois spots for all your trout fishing needs __link__ ilsengop twill illinoisdnr __link__,17,0,4
i will continue to fight the federal governments policy limiting state and local tax deductions to __num__,17,1,1
rt senatehertzberg good government requires transparency accountability glad sb1029 is on jerrybrowngov desk thx johnchiangca htt …,17,19,19
this is very important legislation for the __num__ acre newarkpequannock watershed and nj residents please share __link__,17,20,7
speakerdeleo is not the only one who can take a selfie bospoli stpatricksday cc senstan charlescyancey __link__,17,0,0
rt sciam indias energy decisions could profoundly affect how hot the planet becomes this century 🔒 __link__,17,18,8
dr martin king jr lunch todayhonored first responders our own wvc officer ryan carver utpol utleg __link__,17,0,11
today is ohio statehood day and the beginning of ohio maple syrup month celebrate both with pancakes,17,0,0
at the polls in dalton with our next berkshire state senator adam hinds checkmark ✔ ️ … __link__,18,19,19
today the nassau county bar association will once again be hosting free legal consultation clinics for nassau __link__,18,0,0
tomorrow me members unionmbb class of __num__ will honor championship season of __year__ unionmbb team nysenate unionathletics unioncollegeny,18,0,0
rt bostonneighbor voting for deckthewindows of bosmainstreets has started as you shop remember martywalshs 5onmain challenge htt …,18,0,0
if you are approaching the age of __num__ make a colonoscopy your next stop for good health __link__,18,0,3
thanks to everyone at hurley elementarymiddle school for having me to speak on coal such great students __link__,18,8,8
rt queensgreenway get some free bikenyc helmets from nily rozic barrygrodenchik and nycdot this sunday __link__ http …,18,0,0
i had a great time at the palo verde republican womens club luncheon enjoyed catchingup with friends __link__,18,0,0
rt ryhtexas interesting findings on the impact of quality prek study highquality early education could reduce costs __link__,18,6,6
rt janecorwin mickeykearns puts albany special interests aside passalixslaw this is nt republicandemocrat its common sense http …,18,10,0
thanking our veterans for their service at the guy gabaldon apartments housing for senior veterans in ad53 __link__,18,0,13
they are trying to take advantage of our union worker they need to respect our dignity … __link__,18,5,5
rt stopomnia thanks asmreedgusciora for asking the important s omnia continues to be lightning rod for controversy __link__,18,3,3
rt njassemblydems gmjohnsonnj marlenecaride garyschaernj valeriehuttle bill inspired by sex misconduct on bergen school trip okd ht …,18,11,11
stacyholmstedt simple stacy k12 provides the basic education upon reaching the age of adulthood more education becomes optional,18,0,6
i am so very pleased to serve with speakerrsmith our leader in the ohio house of representatives __link__,18,0,0
ab2066 to extend caleitc to more california families in poverty has been approved thank you cdfca … __link__,18,12,12
overcoming the stigma that surrounds mental illness starts with ensuring that those in our community who are __link__,18,3,3
a record setting day in ny nysfair officially broke you attendance record thanks to nygovcuomo and nysfair __link__,18,0,0
pattykennedy4az congratulations on being reelected as board president of glendaleunionaz your vision for our students is inspiring __link__,18,0,0
trugodkayla dogs are the best are nt they its our responsibility to work to protect them __link__ at,18,4,4
rt georgepbush after ikedolly damaged our coasts txglo has created a plan to keep texans better protected __link__,18,20,20
thank you current and former txstatelacrosse utlacrosse players for helping coach our youth clinic today for dsysa lacrosse,18,0,0
it was an honor to join some of my colleagues with dhsgov sec napolitano in washington dc __link__,18,0,19
sb32 is a massive energy tax that should be titled the energy poverty act of __year__ ” __link__,18,8,8
food stamp enrollment falls to 8year low as trump clamps down on fraud economy improves story wtxf __link__,18,1,1
